id,Z-0_MS_AB,Z-1_MS_AB,Z-2_MS_AB,Z-3_MS_AB,Z-4_MS_AB,Z-5_MS_AB,Z-6_MS_AB,I-0_MS_AB,I-1_MS_AB,I-2_MS_AB,I-3_MS_AB,I-4_MS_AB,I-5_MS_AB,I-6_MS_AB,T-0_MS_AB,T-1_MS_AB,T-2_MS_AB,T-3_MS_AB,T-4_MS_AB,T-5_MS_AB,T-6_MS_AB,S-0_MS_AB,S-1_MS_AB,S-2_MS_AB,S-3_MS_AB,S-4_MS_AB,S-5_MS_AB,S-6_MS_AB,chi-0_MS_AB,chi-1_MS_AB,chi-2_MS_AB,chi-3_MS_AB,chi-4_MS_AB,chi-5_MS_AB,chi-6_MS_AB
ir_tbp_1_dft-py_1_dft-py_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,1648.4,2816.5,2109.0,936.7,0.0,0.0,0.0,52.4,80.5,57.0,24.7,0.0,0.0,0.0,178.4,296.5,219.0,96.7,0.0,0.0,0.0,60.977,95.296,68.096,29.624,0.0,0.0,0.0,77.567,123.736,89.426,39.104,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-py_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,1412.2,2583.6,3278.4,936.4,0.0,0.0,0.0,44.2,75.6,86.4,24.4,0.0,0.0,0.0,134.2,240.6,296.4,84.4,0.0,0.0,0.0,51.53,89.102,103.609,29.355,0.0,0.0,0.0,65.75,115.172,136.789,38.835,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-py_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,940.3,1645.7,2815.1,3753.0,3049.1,702.3,0.0,28.3,49.7,79.1,105.0,85.1,18.3,0.0,64.3,112.7,187.1,249.0,202.1,45.3,0.0,33.223,58.297,93.853,124.707,101.121,21.993,0.0,42.703,74.887,122.293,162.627,131.931,29.103,0.0
ir_tbp_1_dft-oxaz_1_dft-sime_1_dft-co_1_dft-oh_1_smi1_1_s_1,940.0,1407.7,2109.0,3278.3,0.0,0.0,0.0,28.0,39.7,57.0,86.3,0.0,0.0,0.0,64.0,93.7,138.0,212.3,0.0,0.0,0.0,32.892,47.048,68.087,103.55,0.0,0.0,0.0,42.372,61.268,89.417,136.73,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-cch_1_smi1_1_s_1,940.8,1882.2,4448.0,0.0,0.0,0.0,0.0,28.8,58.2,116.0,0.0,0.0,0.0,0.0,64.8,130.2,287.0,0.0,0.0,0.0,0.0,33.67,68.006,139.377,0.0,0.0,0.0,0.0,43.15,86.966,184.407,0.0,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pet3_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,940.3,1645.7,3516.9,3746.2,0.0,0.0,0.0,28.3,49.7,96.9,98.2,0.0,0.0,0.0,64.3,112.7,231.9,242.2,0.0,0.0,0.0,33.237,58.336,115.33,117.885,0.0,0.0,0.0,42.717,74.926,150.88,155.805,0.0,0.0,0.0
ir_tbp_1_dft-oxaz_1_dft-py_1_dft-co_1_iodide_1_smi1_1_s_1,1176.7,1174.7,2110.2,1639.7,234.1,0.0,0.0,36.7,34.7,58.2,43.7,6.1,0.0,0.0,96.7,94.7,166.2,127.7,18.1,0.0,0.0,42.831,40.824,69.255,52.293,7.33,0.0,0.0,54.681,52.674,90.585,68.883,9.7,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-co_1_bromide_1_smi1_1_s_1,1176.5,1172.7,1875.4,4216.4,0.0,0.0,0.0,36.5,32.7,51.4,112.4,0.0,0.0,0.0,96.5,92.7,147.4,328.4,0.0,0.0,0.0,42.664,38.817,61.206,134.551,0.0,0.0,0.0,54.514,50.667,80.166,177.211,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-sime_1_dft-co_1_chloride_1_smi1_1_s_1,1176.6,1408.4,3044.8,2575.7,0.0,0.0,0.0,36.6,40.4,80.8,67.7,0.0,0.0,0.0,96.6,112.4,236.8,199.7,0.0,0.0,0.0,42.792,47.795,96.785,81.18,0.0,0.0,0.0,54.642,62.015,127.595,107.25,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-ime_1_dft-co_1_fluoride_1_smi1_1_s_1,1176.2,1408.5,3046.0,4215.2,0.0,0.0,0.0,36.2,40.5,82.0,111.2,0.0,0.0,0.0,96.2,112.5,238.0,327.2,0.0,0.0,0.0,42.396,47.886,97.941,133.322,0.0,0.0,0.0,54.246,62.106,128.751,175.982,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,940.4,1878.5,4448.0,0.0,0.0,0.0,0.0,28.4,54.5,116.0,0.0,0.0,0.0,0.0,64.4,126.5,287.0,0.0,0.0,0.0,0.0,33.364,64.385,139.341,0.0,0.0,0.0,0.0,42.844,83.345,184.371,0.0,0.0,0.0,0.0
