id,Z-0_FD_AB,Z-1_FD_AB,Z-2_FD_AB,Z-3_FD_AB,Z-4_FD_AB,Z-5_FD_AB,Z-6_FD_AB,I-0_FD_AB,I-1_FD_AB,I-2_FD_AB,I-3_FD_AB,I-4_FD_AB,I-5_FD_AB,I-6_FD_AB,T-0_FD_AB,T-1_FD_AB,T-2_FD_AB,T-3_FD_AB,T-4_FD_AB,T-5_FD_AB,T-6_FD_AB,S-0_FD_AB,S-1_FD_AB,S-2_FD_AB,S-3_FD_AB,S-4_FD_AB,S-5_FD_AB,S-6_FD_AB,chi-0_FD_AB,chi-1_FD_AB,chi-2_FD_AB,chi-3_FD_AB,chi-4_FD_AB,chi-5_FD_AB,chi-6_FD_AB
ir_tbp_1_dft-asme3_1_dft-phos_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,1904.0,3547.2,4925.6,2845.4,1815.6,759.3,210.1,-37.0,-70.8,-111.4,-124.6,-122.4,-65.7,-20.9,269.0,367.2,548.6,355.4,318.6,219.3,69.1,-87.921,-163.475,-247.23,-401.211,-318.148,-292.011,-167.739,218.799,338.275,497.07,695.259,547.802,495.789,285.771
ir_tbp_1_dft-iz_1_dft-oxaz_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,1558.0,2330.2,3374.3,3118.2,1368.4,1078.6,477.3,-32.0,-54.8,-78.7,-88.8,-95.6,-64.4,-26.7,262.0,341.2,392.3,337.2,336.4,328.6,171.3,-87.086,-163.488,-209.753,-230.436,-255.473,-243.443,-216.104,243.874,410.682,480.577,479.064,528.007,514.147,422.086
ir_tbp_1_dft-phos_1_dft-sime_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,1733.0,2640.0,3750.3,4992.8,2203.3,1454.7,662.4,-37.0,-66.0,-92.7,-116.2,-127.7,-114.3,-54.6,323.0,438.0,603.3,582.8,469.3,386.7,266.4,-103.163,-196.607,-266.177,-343.467,-396.295,-375.277,-301.991,277.507,461.503,620.923,716.433,762.485,705.773,533.419
ir_tbp_1_dft-sime_1_dft-sime_1_dft-co_1_dft-oh_1_smi1_1_s_1,1763.9,2646.5,3604.3,6712.5,2121.9,1664.6,1270.3,-27.1,-56.5,-76.7,-100.5,-116.1,-69.4,-49.7,416.9,543.5,769.3,829.5,639.9,482.6,742.3,-111.579,-243.735,-302.098,-400.057,-521.706,-441.67,-286.53,344.271,619.095,790.532,968.213,1114.614,1006.55,647.55
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,2165.2,4522.9,6359.6,3221.3,1724.7,761.7,0.0,-36.8,-73.1,-126.4,-144.7,-159.3,-48.3,0.0,305.2,400.9,671.6,437.3,434.7,-48.3,0.0,-89.854,-183.503,-269.934,-536.376,-427.125,-418.165,0.0,225.236,373.927,538.956,945.294,699.645,685.055,0.0
ir_tbp_1_dft-pme3_1_dft-ime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,2240.6,3469.5,5133.0,4419.8,2152.4,1076.2,-30.0,-42.4,-94.5,-132.0,-182.2,-169.6,-90.8,-30.0,395.6,541.5,858.0,768.8,574.4,479.2,-30.0,-110.167,-244.015,-309.533,-579.048,-506.465,-409.572,-381.927,299.063,541.925,710.917,1141.212,920.035,722.238,581.973
ir_tbp_1_dft-pet3_1_dft-ime_1_dft-co_1_dft-icn_1_smi1_1_s_1,1902.3,3139.8,5216.2,6526.1,2968.5,2323.6,1242.4,-38.7,-76.2,-114.8,-163.9,-178.5,-151.4,-80.6,429.3,571.8,797.2,991.1,832.5,688.6,432.4,-125.991,-261.977,-350.425,-507.243,-711.259,-648.189,-520.5,345.639,590.323,787.565,1099.437,1429.091,1291.431,988.53
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,1936.7,3521.1,5196.1,3423.0,2314.8,1709.0,393.2,-37.3,-69.9,-110.9,-126.0,-148.2,-91.0,-29.8,316.7,392.1,564.1,429.0,508.8,410.0,33.2,-98.399,-198.655,-258.603,-408.284,-364.782,-404.652,-305.923,258.811,442.625,542.907,769.096,657.378,785.748,516.497
ir_tbp_1_dft-oxaz_1_dft-sime_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,1647.3,2482.3,3712.1,4601.7,1725.5,1381.5,546.8,-32.7,-58.7,-82.9,-105.3,-119.5,-100.5,-29.2,333.3,445.3,592.1,572.7,468.5,418.5,210.8,-100.88,-204.639,-261.026,-334.249,-398.655,-362.742,-301.208,285.52,506.571,634.924,724.451,798.735,705.378,579.502
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,2229.4,3663.8,5522.1,6772.9,6851.1,4998.7,3126.3,-59.6,-116.2,-159.9,-199.1,-237.9,-272.3,-239.7,444.4,675.8,950.1,991.9,1232.1,1287.7,984.3,-156.648,-277.091,-426.814,-517.707,-625.432,-837.943,-899.444,405.342,623.809,952.736,1080.663,1363.268,1687.487,1640.356
ir_tbp_1_dft-pme3_1_dft-oxaz_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,1639.8,2785.8,4908.1,2251.1,1541.6,889.3,51.2,-34.2,-64.2,-98.9,-118.9,-129.4,-55.7,-11.8,283.8,379.8,558.1,382.1,419.6,175.3,-11.8,-90.515,-178.502,-241.775,-408.514,-339.528,-353.91,-122.526,238.825,399.418,531.865,759.356,605.682,695.55,197.334
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-hicn_1_chloride_1_smi1_1_s_1,2194.3,3638.1,6763.6,6558.3,6818.0,5232.3,3051.5,-61.7,-123.9,-178.4,-218.7,-256.0,-284.7,-287.5,490.3,710.1,1081.6,1005.3,1319.0,1488.3,1044.5,-167.907,-320.747,-459.797,-659.224,-675.668,-923.797,-1122.776,416.403,678.313,1010.953,1325.126,1438.612,1860.083,1886.104
ir_tbp_1_dft-ime_1_dft-phos_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,1713.8,2583.7,3874.2,4560.3,2118.1,1377.7,613.8,-38.2,-68.3,-91.8,-119.7,-125.9,-110.3,-55.2,291.8,387.7,544.2,537.3,477.1,411.7,226.8,-101.392,-181.737,-236.112,-317.86,-368.476,-376.905,-314.549,266.618,415.713,550.578,647.96,706.154,689.895,542.641
ir_tbp_1_dft-ime_1_dft-sime_1_dft-co_1_dft-cn_1_smi1_1_s_1,1732.5,2577.3,3524.8,6252.6,2024.1,1855.1,1153.2,-34.5,-59.7,-84.2,-116.4,-135.9,-124.9,-46.8,373.5,486.3,683.8,741.6,572.1,379.1,607.2,-111.534,-225.174,-275.095,-371.882,-485.11,-447.009,-260.658,317.616,560.076,703.235,862.228,963.59,926.271,584.382
ir_tbp_1_dft-oxaz_1_dft-phos_1_dft-iacn_1_bromide_1_smi1_1_s_1,1718.1,2552.6,3992.0,4294.7,2436.8,1123.9,633.9,-33.9,-63.4,-88.0,-94.3,-89.2,-67.1,-41.1,272.1,338.6,407.0,316.7,318.8,370.9,231.9,-86.973,-167.814,-214.697,-225.911,-218.982,-235.716,-252.607,237.927,398.106,477.673,470.029,471.378,479.124,480.353
